questionCode,skill,level,type,categoryId,difficulty,language,questionText,option1,score1,option2,score2,option3,score3,option4,score4,option5,score5,explanation
EN_GRM_YR7_31,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a colon correctly?,"Bring these items: a pencil, a ruler and an eraser.",1,"Bring: these items a pencil, a ruler and an eraser.",0,"Bring these: items a pencil, a ruler and an eraser.",0,Bring these items a pencil: a ruler and an eraser.,0,None of these above,0,A colon can introduce a list after a complete clause.
EN_GRM_YR7_32,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a semicolon correctly?,The rain stopped; we went outside.,1,The rain; stopped we went outside.,0,The rain stopped we; went outside.,0,The rain stopped; and we went outside.,0,None of these above,0,A semicolon can join two closely related independent clauses.
EN_GRM_YR7_33,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence has the comma in the correct position?,"After the match we, went home.",0,"After the match, we went home.",1,"After, the match we went home.",0,"After the match we went, home.",0,None of these above,0,An introductory phrase is followed by a comma.
EN_GRM_YR7_34,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses commas correctly for direct speech?,"""Come here,"" said Mum.",1,"""Come here"" said, Mum.",0,"""Come here,"" said, Mum.",0,"""Come here"" said Mum.",0,None of these above,0,A comma separates the spoken words from the reporting clause in this construction.
EN_GRM_YR7_35,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses an apostrophe correctly?,The teachers desk was tidy.,0,The teacher's desk was tidy.,1,The teachers' desk was tidy.,0,The teacher desk's was tidy.,0,None of these above,0,"The desk belongs to one teacher, so the singular possessive apostrophe is used."
EN_GRM_YR7_36,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence shows possession by more than one student?,The students' books were on the table.,1,The student's books were on the table.,0,The students books' were on the table.,0,The student' books were on the table.,0,None of these above,0,The plural noun students takes an apostrophe after the s.
EN_GRM_YR7_37,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses brackets correctly?,The lion (which was very old) slept in the sun.,1,The lion which (was very old slept in the sun).,0,The lion (which was very old slept) in the sun.,0,The lion which was (very old) slept in the sun.,0,None of these above,0,The bracketed words form a complete parenthetical phrase.
EN_GRM_YR7_38,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a hyphen correctly?,She wore a well-known brand.,1,She wore a wellknown brand.,0,She wore a well known-brand.,0,She wore a well known brand.,0,None of these above,0,A compound adjective before a noun can use a hyphen: well-known brand.
EN_GRM_YR7_39,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence is punctuated correctly?,However I decided to stay.,0,"However, I decided to stay.",1,"However I, decided to stay.",0,However; I decided to stay.,0,None of these above,0,A comma follows the introductory adverb However.
EN_GRM_YR7_40,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence is a complete sentence?,Because the bell rang.,0,Running across the field.,0,The pupils packed their bags.,1,Although it was raining.,0,None of these above,0,The third sentence contains a subject and a finite verb and expresses a complete thought.
