questionCode,skill,level,type,categoryId,difficulty,language,questionText,option1,score1,option2,score2,option3,score3,option4,score4,option5,score5,explanation
EN_GRM_YR7_11,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the sentence with the correct use of the apostrophe.,The boys bike was left outside.,1,The boy's bike was left outside.,3,The boys' bike was left outside.,2,,,,,"The boy's bike means the bike belongs to one boy, so the singular possessive apostrophe is correct."
EN_GRM_YR7_12,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses the past perfect tense correctly?,"When we arrived, the film had already started.",3,"When we arrived, the film has already started.",2,"When we arrived, the film already starts.",1,,,,,The past perfect 'had already started' shows that the film started before we arrived.
EN_GRM_YR7_13,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct form of the verb: 'Neither of the players ___ ready.',were,1,are,2,was,3,,,,,"In standard English, 'neither' is treated as singular here, so 'was' is the correct form."
EN_GRM_YR7_14,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence contains a subordinate clause?,The dog barked loudly.,1,"Although it was raining, we went outside.",3,The children played football.,2,,,,,Although it was raining is a subordinate clause because it cannot stand alone as a complete sentence.
EN_GRM_YR7_15,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,"Choose the sentence with the correct use of 'their', 'there' or 'they're'.",They're coats are hanging there.,1,Their coats are hanging over there.,3,There coats are hanging over their.,2,,,,,"'Their' shows possession, while 'there' refers to a place."
EN_GRM_YR7_16,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a modal verb correctly?,You must to finish your homework tonight.,1,You should finish your homework tonight.,3,You should to finish your homework tonight.,2,,,,,Modal verbs such as 'should' are followed by the base form of the verb without 'to'.
EN_GRM_YR7_17,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the sentence with the correct subject-verb agreement.,The group of students are waiting outside.,1,The group of students is waiting outside.,3,The group of students were waiting outside.,2,,,,,"The subject is 'group', which is singular, so 'is' is the standard choice."
EN_GRM_YR7_18,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence is written in the passive voice?,The chef prepared the meal.,1,The chef is preparing the meal.,2,The meal was prepared by the chef.,3,,,,,"In the passive voice, the subject receives the action: 'The meal was prepared by the chef.'"
EN_GRM_YR7_19,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct pronoun: 'Maya and ___ went to the library.',me,1,I,3,myself,2,,,,,'Maya and I' is the correct subject of the verb 'went'.
EN_GRM_YR7_20,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a comma correctly?,After lunch we went to the museum.,1,"After lunch, we went to the museum.",3,"After, lunch we went to the museum.",2,,,,,A comma is used after the introductory phrase 'After lunch'.
EN_GRM_YR7_21,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the correct comparative form: 'This puzzle is ___ than the first one.',more easier,1,easiest,2,easier,3,,,,,The correct comparative form of 'easy' is 'easier'.
EN_GRM_YR7_22,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence contains an adverb?,The quick fox jumped.,1,The fox jumped quickly.,3,The fox was quick.,2,,,,,'Quickly' is an adverb because it describes how the fox jumped.
EN_GRM_YR7_23,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,"Choose the correct conjunction: 'I wanted to go swimming, ___ the pool was closed.'",because,1,but,3,so,2,,,,,'But' correctly shows the contrast between wanting to swim and the pool being closed.
EN_GRM_YR7_24,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses the apostrophe correctly for a plural possessive?,The girls' changing room was upstairs.,3,The girl's changing room was upstairs.,2,The girls changing room was upstairs.,1,,,,,"'Girls' is plural, so the apostrophe comes after the s to show the room belongs to several girls."
EN_GRM_YR7_25,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,"Choose the correct verb form: 'By next Friday, we ___ the project.'",will have completed,3,will completed,1,have complete,2,,,,,The future perfect 'will have completed' describes an action that will be finished by a future time.
EN_GRM_YR7_26,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence uses a relative pronoun correctly?,The book who I borrowed was exciting.,1,The book which I borrowed was exciting.,3,The book where I borrowed was exciting.,2,,,,,'Which' can be used to refer to a thing such as a book.
EN_GRM_YR7_27,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the sentence with the correct use of 'fewer' or 'less'.,There are less pupils in the hall today.,1,There are fewer pupils in the hall today.,3,There are fewer water in the tank today.,2,,,,,'Fewer' is normally used with countable plural nouns such as 'pupils'.
EN_GRM_YR7_28,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Which sentence is grammatically correct?,"If I was you, I would apologise.",1,"If I were you, I would apologise.",3,"If I am you, I would apologise.",2,,,,,'If I were you' is the standard form for this hypothetical situation.
EN_GRM_YR7_29,English Grammer,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Choose the sentence with the correct use of a semicolon.,I finished my homework; I watched television afterwards.,3,I finished my homework; and I watched television afterwards.,2,I finished; my homework I watched television afterwards.,1,,,,,A semicolon can join two closely related independent clauses without a coordinating conjunction.
