questionCode,skill,level,type,categoryId,difficulty,language,questionText,option1,score1,option2,score2,option3,score3,option4,score4,explanation
NUM_SEC_0001,Numerical Reasoning,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Simplify the expression: (50 x 8) - 16 + 50,439,0,446,0,434,1,424,0,No explanation
NUM_SEC_0002,Numerical Reasoning,Intermediate,SINGLE_CHOICE,secondary,Medium,en,"Find the next number in the series: 4, 7, 10, 13, 16, ?",24,0,22,0,17,0,19,1,No explanation
NUM_SEC_0003,Numerical Reasoning,Intermediate,SINGLE_CHOICE,secondary,Hard,en,A car travels at a constant speed of 42 km/h. How far will it travel in 3 hours?,106,0,156,0,141,0,126,1,No explanation
NUM_SEC_0004,Numerical Reasoning,Intermediate,SINGLE_CHOICE,secondary,Easy,en,An item priced at £300 is on sale with a 10% discount. What is the sale price?,280,0,289,0,270,1,290,0,No explanation
NUM_SEC_0005,Numerical Reasoning,Intermediate,SINGLE_CHOICE,secondary,Medium,en,"The test scores of three students are 27, 44, and 33. What is their average score?",36.2,0,36.7,0,34.7,1,33.7,0,No explanation
NUM_SEC_0006,Numerical Reasoning,Intermediate,SINGLE_CHOICE,secondary,Hard,en,Simplify the expression: (37 x 15) - 90 + 37,492,0,514,0,502,1,507,0,No explanation
NUM_SEC_0007,Numerical Reasoning,Intermediate,SINGLE_CHOICE,secondary,Easy,en,"Find the next number in the series: 3, 6, 9, 12, 15, ?",16,0,21,0,18,1,23,0,No explanation
NUM_SEC_0008,Numerical Reasoning,Intermediate,SINGLE_CHOICE,secondary,Medium,en,A car travels at a constant speed of 62 km/h. How far will it travel in 5 hours?,325,0,290,0,340,0,310,1,No explanation
NUM_SEC_0009,Numerical Reasoning,Intermediate,SINGLE_CHOICE,secondary,Hard,en,An item priced at £300 is on sale with a 10% discount. What is the sale price?,284,0,290,0,270,1,280,0,No explanation
NUM_SEC_0010,Numerical Reasoning,Intermediate,SINGLE_CHOICE,secondary,Easy,en,"The test scores of three students are 40, 49, and 26. What is their average score?",40.3,0,38.3,1,37.3,0,39.8,0,No explanation
NUM_SEC_0011,Numerical Reasoning,Intermediate,SINGLE_CHOICE,secondary,Medium,en,Simplify the expression: (12 x 12) - 72 + 12,89,0,74,0,96,0,84,1,No explanation
NUM_SEC_0012,Numerical Reasoning,Intermediate,SINGLE_CHOICE,secondary,Hard,en,"Find the next number in the series: 8, 13, 18, 23, 28, ?",33,1,38,0,31,0,36,0,No explanation
NUM_SEC_0013,Numerical Reasoning,Intermediate,SINGLE_CHOICE,secondary,Easy,en,A car travels at a constant speed of 50 km/h. How far will it travel in 5 hours?,265,0,230,0,250,1,280,0,No explanation
NUM_SEC_0014,Numerical Reasoning,Intermediate,SINGLE_CHOICE,secondary,Medium,en,An item priced at £120 is on sale with a 15% discount. What is the sale price?,108,0,102,1,112,0,105,0,No explanation
NUM_SEC_0015,Numerical Reasoning,Intermediate,SINGLE_CHOICE,secondary,Hard,en,"The test scores of three students are 32, 38, and 35. What is their average score?",35,1,37,0,34,0,36.5,0,No explanation
